album,song,word,difficulty,definition
1989,Welcome to New York,"kaleidoscope",Intermediate,"A colorful, constantly changing pattern of shapes and colors, often created by reflecting light through a rotating tube with loose, colored materials inside. In a broader sense, it can refer to a multicolored, dynamic, and constantly changing situation or environment."
1989,Welcome to New York,"aglow",Intermediate,"Giving off a warm, soft, and steady light, often used to describe something that is radiant or glowing with health and vitality."
1989,Welcome to New York,"ever-changing",Beginner,"Always changing or altering, often in unpredictable or unexpected ways. This phrase can be used to describe something that is dynamic, flexible, and adaptable."
1989,Welcome to New York,"forevermore",Intermediate,"For all future time, or from now on. This word is often used to emphasize a sense of permanence or continuity."
1989,Blank Space,"reckless",Intermediate,"Having or showing no care for the consequences of an action; impulsive and irresponsible."
1989,Blank Space,"nasty",Beginner,"Unpleasant or disagreeable, often in a way that is shocking or disturbing."
1989,Blank Space,"torture",Intermediate,"Severe physical or mental suffering, often inflicted intentionally."
1989,Blank Space,"jealousy",Intermediate,"A feeling of resentment or bitterness towards someone because of their success or perceived advantage."
1989,Blank Space,"nightmare",Beginner,"A frightening or unpleasant dream, or a situation that is very unpleasant or difficult to deal with."
1989,Blank Space,"daydream",Intermediate,"A pleasant and often unrealistic fantasy or reverie, typically experienced while awake."
1989,Style,"paradise",Intermediate,"A place or state of supreme happiness or bliss. It can also refer to a place of beauty or delight."
1989,Style,"slicked",Intermediate,"Made smooth and flat, typically using a substance such as hair gel or water. It can also refer to something that is cleverly or deceitfully done."
1989,Style,"crashing",Beginner,"Falling or coming down violently, often with a loud noise. It can also refer to a situation that is failing or collapsing."
1989,Out of the Woods,"polaroid",Intermediate,"A type of instant camera that produces a physical photograph after taking a picture. The term can also refer to the photograph itself."
1989,Out of the Woods,"monsters",Beginner,"Frightening or intimidating entities, often used figuratively to describe problems or challenges."
1989,Out of the Woods,"stitches",Beginner,"Sutures used to close a wound, often requiring medical attention."
1989,All You Had to Do Was Stay,"palm",Intermediate,"The inner surface of the hand that extends from the wrist to the base of the fingers. Figuratively, it can also mean to have someone or something under one's control."
1989,All You Had to Do Was Stay,"aside",Beginner,"To a position away from the main area or activity. It can also mean to ignore or dismiss something."
1989,All You Had to Do Was Stay,"forever",Beginner,"For all time, or for an extremely long time. It can also be used to emphasize the permanence of a situation or feeling."
1989,Shake It Off,"hella",Intermediate,"Hella is an informal adjective used to emphasize a quality, similar to 'very' or 'extremely'. It is often used in informal settings or in regional dialects."
1989,Shake It Off,"sick",Intermediate,"In this context, 'sick' is a slang term meaning exceptional or impressive, often used to describe something that is considered cool or of high quality."
1989,Shake It Off,"fakers",Beginner,"A person who pretends to have qualities or characteristics that they do not actually possess, often to deceive or manipulate others."
1989,Shake It Off,"groovin'",Intermediate,"Groovin' refers to the act of moving or dancing to music, often in a smooth or rhythmic way."
1989,I Wish You Would,"crooked",Intermediate,"Not straight or direct; having an irregular or uneven shape. In a broader sense, it can also imply a deviation from what is considered normal or proper."
1989,I Wish You Would,"mad",Beginner,"Extremely angry or furious. However, in this context, 'mad' is used to emphasize the intensity of the love rather than anger."
1989,I Wish You Would,"buttons",Intermediate,"Emotional triggers or sensitive topics that can provoke a reaction. The phrase 'push someone's buttons' means to intentionally annoy or provoke them."
